;yearmonth;code;hour;precipitation;pressure;max_preasure;min_preasure;radiation;temperature;dew_point;max_temperature;min_temperature;max_dew_point;min_dew_point;max_humidity;min_humidity;humidity;wind_direction;wind_gust;wind_speed;year;month
74;200108;AM;1150;0.0207267833109017;1005.8138627187068;1009.4;1001.4;1754.206989247312;28.022207267833146;22.058411843876165;35.5;21.6;24.9;15.5;75.21130551816958;68.62449528936743;71.89098250336474;115.53360215053765;3.095020188425303;1.1308209959623143;2001;8
75;200108;BA;1150;0.2079343365253078;1014.2414835164838;1017.5;1010.4;1168.596577017115;23.521751025991783;19.17318741450066;27.7;19.5;22.9;14.4;79.8259052924791;74.33983286908078;77.03009575923393;-50.223118279569896;7.215438108484012;2.7290013679890577;2001;8
76;200108;DF;1150;0.0627575277337559;891.1052631578947;895.3;886.2;1605.8333333333333;19.60855784469099;8.85150554675119;29.9;12.2;16.3;2.4;54.74085850556439;49.76788553259141;52.229793977813;-1425.274193548387;6.363910969793321;3.3473851030110904;2001;8
77;200108;GO;1150;0.0283382789317507;934.9385014836796;940.2;928.1;1667.6875;21.51259314456037;9.636289120715352;39.6;9.6;18.9;1.4;54.47470238095238;47.426437640029874;50.89046199701937;-875.421370967742;5.184712900820279;2.431865671641793;2001;8
78;200108;RJ;1150;0.0405913978494623;1018.0696236559136;1023.8;1009.5;1303.8763440860216;22.192069892473132;16.20645161290323;32.9;13.0;20.9;6.0;74.6985195154778;68.60699865410498;71.77956989247312;170.8534946236559;4.625841184387616;2.13413978494624;2001;8
79;200108;RS;1150;0.0312668463611859;1014.8906630581862;1025.4;1001.6;1012.818181818182;18.758086253369274;13.527628032345;30.9;9.2;18.9;6.0;76.98382749326146;71.42857142857143;74.22371967654986;119.28225806451611;3.8892183288409674;1.3900269541778991;2001;8
80;200108;SP;1150;0.5878787878787879;945.7454545454548;948.1;943.8;1343.928571428571;23.937931034482755;15.472413793103447;35.3;16.4;17.6;13.3;65.51724137931035;58.82142857142857;61.241379310344826;-4545.291666666667;3.4160000000000004;1.6076923076923075;2001;8
81;200109;AM;1150;0.1108333333333333;1003.8763888888896;1008.7;999.3;1648.388888888889;27.568888888888896;22.57527777777777;35.1;21.7;25.6;18.7;79.01392757660167;72.57938718662953;75.76388888888889;180.95;3.3553546592489574;1.2179166666666672;2001;9
82;200109;BA;1150;0.2734397677793905;1010.4435036496344;1014.0;1005.2;1382.7558441558442;23.934833091436875;20.317997097242397;29.6;19.5;23.3;17.2;82.76197387518143;78.26705370101597;80.58925979680697;-314.1402777777778;6.243396226415098;2.3490566037735863;2001;9
83;200109;DF;1150;0.0774091627172195;887.3762658227845;892.1;882.6;1556.022151898734;22.162401263823064;11.632227488151663;33.1;13.3;19.3;2.9;57.84310618066561;52.21870047543582;54.99368088467615;-1086.5055555555557;5.228164556962024;2.567614533965246;2001;9
84;200109;GO;1150;0.1939814814814814;931.0206790123448;937.8;924.9;1551.304804804805;23.681404320987667;12.94212962962964;36.2;8.7;21.0;-0.4;59.255795981452856;52.212519319938174;55.6820987654321;-865.1506944444444;4.592967542503857;2.0135802469135786;2001;9
85;200109;MS;1150;0.2729468599033815;956.9674516908212;986.1;930.1;1330.1048034934497;22.567335766423334;14.16570048309179;38.8;4.8;41.3;-5.5;65.36924939467312;59.95699576014537;62.65700483091788;-420.02796803652967;6.415677966101695;3.167330917874404;2001;9
86;200109;RJ;1150;0.0555555555555555;1013.6352777777778;1023.0;1002.5;1139.178666666667;21.92250000000001;16.42791666666666;35.2;13.1;22.1;7.7;76.28055555555555;70.90277777777777;73.60138888888889;168.68055555555554;5.099027777777776;2.354444444444445;2001;9
87;200109;RS;1150;0.1754716981132075;1012.2969984202208;1023.8;1000.7;1027.6540697674418;17.702201257861645;13.128459119496876;28.8;7.2;20.0;-0.1;78.5496062992126;73.5748031496063;76.09905660377359;-1043.7180555555556;6.131496062992129;2.25314465408805;2001;9
88;200109;SP;1150;0.0491666666666666;943.5473611111116;951.0;936.8;1492.3062330623306;21.094861111111104;13.45180555555555;34.9;5.6;20.7;0.5;67.96666666666667;62.355555555555554;65.1763888888889;135.34166666666667;5.687222222222227;2.2075000000000022;2001;9
89;200110;AM;1150;0.2527322404371584;1002.8990437158476;1008.8;997.5;1593.2722646310433;28.65218579234976;22.50519125683058;36.1;22.3;25.3;18.0;72.6020942408377;66.34293193717278;71.45218579234972;-22.3252688172043;3.5818306010928995;1.4005464480874308;2001;10
