state;month_x;number;id;code;precipitation;pressure;max_preasure;min_preasure;radiation;temperature;dew_point;max_temperature;min_temperature;max_dew_point;min_dew_point;max_humidity;min_humidity;humidity;wind_direction;wind_gust;wind_speed;year;month_y
Alagoas;Novembro;55.0;AL200911;AL;0.0116666666666666;998.9573611111134;1016.0;975.9;1243.3267613972762;26.479347071081243;19.688935185185223;39.1;19.1;25.7;11.1;71.87199074074074;66.33171296296297;69.16828703703703;102.74537037037037;6.70337962962962;3.081500347302615;2009;11
Alagoas;Novembro;31.0;AL201011;AL;0.0079604333490343;998.071384832784;1015.2;973.9;1312.105357142858;26.22452874646558;19.92479981158742;38.5;17.5;25.9;11.2;73.90226095148375;68.49811587376354;71.22444653791804;-69.64143518518519;6.340744229863396;2.8520960904380623;2010;11
Alagoas;Novembro;23.0;AL201111;AL;0.0814265863825842;999.1628763316354;1015.4;976.3;1331.078238519535;25.48807318202872;20.48671245855052;37.0;17.4;27.7;11.0;78.36740986717268;73.07518975332069;75.8041212695405;107.96111111111112;5.99573580533024;2.602037980546555;2011;11
Alagoas;Novembro;95.0;AL201211;AL;0.0062528948587308;998.4252777777774;1014.9;975.0;1582.5702652910836;26.6284556610326;19.449039129428105;40.4;19.3;24.4;8.4;70.59319286871961;65.33526279231303;68.01296596434359;92.76157407407408;7.018198657096554;3.1917573512387;2012;11
Alagoas;Novembro;10.0;AL201311;AL;0.0801388888888887;999.0848611111136;1015.7;973.9;1598.688578574407;25.558888888888955;20.11446759259264;38.2;18.3;25.6;7.8;76.71180555555556;71.51805555555555;74.1962962962963;109.9976851851852;6.183888888888882;2.805694444444447;2013;11
Alagoas;Novembro;14.0;AL201411;AL;0.0467022308438408;998.9743210475278;1015.8;975.7;1610.762736660928;25.80504364694469;20.289597478176564;39.4;18.4;26.4;11.9;76.5524017467249;71.4623968947113;74.06910766246362;-346.0122685185185;6.018655992236776;2.759689546446762;2014;11
Alagoas;Novembro;162.0;AL201511;AL;0.0050462962962962;999.1193518518523;1016.6;974.6;1854.6675596483865;27.81236111111101;18.86733823180848;42.2;19.1;28.1;-9.9;66.32600992204111;62.0860111137956;64.34617224880382;102.00717592592592;7.054236111111125;3.16025462962962;2015;11
Alagoas;Novembro;76.0;AL201611;AL;0.0199111111111111;996.9487703703712;1017.5;974.1;1595.3215240641696;26.446992592592625;19.2232296296296;36.8;19.8;25.9;-1.3;70.104;65.00918518518519;67.65125925925926;-3782.701851851852;7.1896888888888855;3.359644444444442;2016;11
Alagoas;Novembro;10.0;AL201711;AL;0.0127790178571428;997.8486965174123;1015.0;974.7;1919.0051857300496;26.4605970149254;19.274999999999984;40.8;19.0;24.3;2.3;71.49143518518518;66.1349537037037;68.86898148148148;69.7890873015873;6.640983280254756;2.8244426751592315;2017;11
Alagoas;Dezembro;43.0;AL200312;AL;0.0247311827956989;1003.0893817204296;1007.9;999.3;21630.082725060827;26.26518817204301;20.900672043010747;31.9;20.6;24.2;13.9;76.12231182795699;70.97177419354838;73.65860215053763;84.19220430107526;6.235752688172041;3.2426075268817187;2003;12
Alagoas;Dezembro;71.0;AL200412;AL;0.0202702702702702;1002.7382432432432;1006.9;998.4;1463.344262295082;28.124189189189163;22.068243243243263;39.5;20.2;30.3;18.1;73.95135135135135;68.60945945945946;71.42567567567568;25.928763440860216;6.331351351351354;3.348243243243243;2004;12
Alagoas;Dezembro;16.0;AL200512;AL;0.124731182795699;1001.8552419354826;1005.6;995.6;21079.166666666668;25.946774193548404;20.78548387096772;32.9;21.3;24.7;14.8;76.91129032258064;71.76612903225806;74.45430107526882;92.68682795698923;6.091666666666665;3.164919354838708;2005;12
Alagoas;Dezembro;30.0;AL200612;AL;0.0334545454545454;1003.2343636363636;1007.1;999.1;1747.680405405405;26.149090909090923;22.77527272727273;31.9;21.3;25.3;18.5;85.3040293040293;80.45787545787546;82.9290909090909;-2538.5510752688174;6.153038674033144;3.2096363636363616;2006;12
Alagoas;Dezembro;33.0;AL200712;AL;0.0104838709677419;994.5603494623645;1012.8;973.8;1814.2065756823813;27.44321236559139;18.363844086021512;39.9;19.3;22.6;8.2;64.30913978494624;58.47513440860215;61.38575268817204;-3264.10035842294;7.249126344086026;3.435685483870976;2007;12
Alagoas;Dezembro;34.0;AL200812;AL;0.0250056016132646;997.888819179922;1014.6;973.9;1544.9468906361678;26.997669728882;19.96576293972666;39.7;19.3;24.6;7.5;71.05265516468744;65.59870042572261;68.39614609007394;104.48163082437276;6.622585704682969;3.0847636119202244;2008;12
Alagoas;Dezembro;55.0;AL200912;AL;0.0355814474568675;998.9365815412152;1015.3;975.3;1179.7743775332958;27.010035842293924;20.699507168458787;38.9;19.4;27.3;11.0;73.58736559139786;68.3660394265233;71.03517025089606;110.62522401433692;6.350470430107538;2.877576164874552;2009;12
Alagoas;Dezembro;45.0;AL201012;AL;0.0286867727380669;996.0799097601526;1013.9;971.7;1302.1928080050034;26.969935882213303;20.36630228136882;43.0;19.6;26.7;11.6;72.6425855513308;67.32509505703422;69.95912547528518;-469.6010304659498;6.277851711026617;2.8072701354240865;2010;12
Alagoas;Dezembro;50.0;AL201112;AL;0.00811113600717;998.7884856630814;1015.1;974.0;1660.0804120111718;26.60589157706091;19.884248320593024;41.1;18.9;25.8;9.2;71.602787456446;66.03646922183508;68.94996525364837;60.91689068100359;6.344904386951628;2.729509671614937;2011;12
Alagoas;Dezembro;59.0;AL201212;AL;0.0163877092180864;997.3808893330014;1014.0;975.0;1527.879039301312;26.546665001249057;20.03280039970024;38.6;19.7;24.7;9.9;72.66250312265801;67.40394703972021;70.07344491631277;-938.0797491039426;6.542643017736691;3.024381713714713;2012;12
Alagoas;Dezembro;42.0;AL201312;AL;0.0514336917562723;998.5563620071708;1014.7;975.1;1717.5564985649803;26.73942652329752;20.47139336917563;40.3;19.1;25.7;9.9;73.97446236559139;68.88127240143369;71.4758064516129;102.04525089605735;6.733266129032262;3.0786066308243694;2013;12
Alagoas;Dezembro;24.0;AL201412;AL;0.0188172043010752;1000.0348342293933;1016.3;978.0;1601.0414963205228;26.623947132616465;20.65385304659497;37.8;19.2;27.7;9.9;74.91106630824373;69.65277777777777;72.34162186379929;109.84251792114696;6.146102150537606;2.8291442652329737;2014;12
Alagoas;Dezembro;136.0;AL201512;AL;0.0741935483870967;1000.6982078853038;1016.6;977.4;1628.717998352552;27.580465949820752;19.64351578469224;41.5;19.5;29.1;-9.8;69.21263586956522;64.81703107019563;67.17257142857143;111.88037634408602;6.221348566308227;2.669287634408599;2015;12
Alagoas;Dezembro;155.0;AL201612;AL;0.030412496948987;998.4426097560984;1015.2;974.9;1623.2200866269611;27.233268292682894;19.36206391802882;39.3;19.9;26.6;-9.9;68.12609756097561;63.16923830516777;65.72109508677585;-2397.91353046595;6.831000000000008;3.0094390243902467;2016;12
Amapa;Janeiro;4.0;AP200901;AP;0.9200538358008072;1010.0520861372804;1014.5;1005.6;841.374064837905;24.45679676985193;22.932705248990608;31.8;21.7;25.9;20.9;93.45625841184388;89.79946164199193;91.66756393001346;104.30510752688171;3.170390309555855;0.968236877523552;2009;1
